pattern,weight_group_key,reference_weight_lb,formula,assumption_note,source_url,confidence,human_confirmed
^NOODLE RAMEN,RAMEN_BLOCK_2P5OZ,0.15625,multiply,"Individually-quick-frozen ramen noodle block -- ~2.5 oz each, verified: ""NOODLE RAMEN IQF COOKED SUN 80CT"" implies $4.15/lb, plausible for ramen noodles.",,Medium,0
^SNR WATERMELON,WATERMELON_WHOLE_20LB,20.0,multiply,"Whole red seeded watermelon -- ~20 lb each (a low count-per-case, e.g. ""3ct"", confirms these are whole melons not cut pieces). Verified: implies $0.41/lb, plausible.",,Medium,0
^VEGETABLE SAMOSAS,SAMOSA_1OZ,0.0625,multiply,"Standard frozen appetizer samosa -- ~1 oz each. Verified: implies $5.06/lb, plausible for a frozen appetizer.",,Low-Medium,0
^SEAPOINT FARM EDAMAME,EDAMAME_BAG_3OZ,0.1875,multiply,"""CT"" here means individual snack bags per case, not pods -- a standard edamame snack bag runs ~3 oz. Verified: implies $3.51/lb, plausible.",,Low-Medium,0
^SNR SHELL TART,TART_SHELL_0P4OZ,0.025,multiply,"Small (2-2.13 in) dessert tart shell -- mostly hollow pastry, ~0.4 oz each. Lowest confidence in this file -- implies a relatively high $10-20/lb, but tart shells are a low-weight specialty pastry component, not a bulk commodity, so a higher $/lb is plausible even if the exact oz figure is uncertain.",,Low-Medium,0
CORN COB,CORN_COBETTE_2P5OZ,0.15625,multiply,"Petite/mini corn cob -- much smaller than a full ear, ~2.5 oz each (same proxy as the UCB/UCSC ""cobette"" entries).",,Low-Medium,0
^SNR CUCUMBERS,CUCUMBER_0P66LB,0.66,multiply,"Standard slicer cucumber -- ~0.66 lb (300g) each, same proxy as UCB/UCSC.",,Low-Medium,0
^SNR MANGOS,MANGO_0P75LB,0.75,multiply,"Standard mango -- ~0.75 lb each, same proxy as UCB/UCSC.",,Low-Medium,0
^SW AVOCADOS,AVOCADO_25LB_CASE,25.0,case,"Standard Hass avocado case -- ~25 lb net regardless of the count/size grade in the name (e.g. ""30 CT""), same standard-carton reasoning as the UCB/UCSC avocado entries. Verified: implies $1.31/lb, plausible.",,Medium,0
^SNR AVOCADO,AVOCADO_25LB_CASE,25.0,case,"Standard Hass avocado case -- ~25 lb net regardless of the count/size grade in the name, same standard-carton reasoning as the UCB/UCSC avocado entries.",,Medium,0
^SNR ORANGE,CITRUS_ORANGE_37P5LB_CASE,37.5,case,"Standard citrus (orange) shipping carton -- ~37.5 lb net regardless of the count/size grade in the name, same standard-carton reasoning as the UCB/UCSC orange entries.",,Medium,0
^SNR APPLE,APPLE_40LB_CASE,40.0,case,"Standard US apple shipping carton -- 40 lb net regardless of the count/size grade in the name (e.g. ""88/90CT""), same standard-carton reasoning as the UCB/UCSC apple entries. Sidesteps needing to parse a size-grade range as a count at all.",,Medium,0
^SNR PEAR,PEAR_44LB_CASE,44.0,case,"Standard Western pear shipping box -- ~44 lb net regardless of the count/size grade in the name (e.g. ""90/100 CT""), same standard-carton reasoning as the UCB/UCSC pear entries.",,Medium,0
BAGEL,BAGEL_4P5OZ,0.28125,multiply,"Standard deli bagel -- ~4.5 oz each, the same figure this export's own ""BAGEL BLUEBERRY 4.5oz BAKEMARK""/""BAGEL PLAIN 4.5oz BAKEMARK"" SKUs state explicitly (a real stated weight elsewhere in this file, not a blind guess). Verified across 8 bare-EACH bagel rows with no oz of their own: implies $1.35-3.38/lb, all plausible.",,Medium,0
BREADSTICKS GARLIC,BREADSTICK_1P5OZ,0.09375,multiply,"Standard garlic cheese breadstick -- ~1.5 oz each. Verified: ""BREADSTICKS GARLIC CHS 8"""" (125/CS) implies $3.65/lb, plausible.",,Low-Medium,0
^BREAD SOURDOUGH 3/4IN SLI,SOURDOUGH_LOAF_1P25LB,1.25,multiply,"Standard sliced sourdough loaf -- ~1.25 lb each. Verified: (10/CS) implies $3.06/lb, plausible. Deliberately anchored to this exact SKU rather than a bare ""SOURDOUGH"" keyword -- ""AVB BIG SOURDOUGH PANOR"" is a different (larger, ""BIG"") product and shouldn't reuse this same reference weight.",,Low-Medium,0
