title,weight_group_key,assumed_each_weight_oz,assumed_each_weight_lb,assumption_note,source_url,confidence,human_confirmed
Bread Roll French 6 in,SANDWICH_ROLL_6IN_3OZ,3.0,0.1875,Used 6-inch sandwich roll proxy at 3.0 oz each (same proxy as Bordenaves' confirmed 6-inch rolls).,https://anthonyandsonsbakery.com/product/6-sub-roll/,Medium,1
Bread Bun Burger White,HAMBURGER_BUN_2P5OZ,2.5,0.15625,Standard hamburger bun proxy at 2.5 oz each.,https://www.schulstadbakerysolutions.com/all-products/hamburger-bun---4-inch-55-g/,Medium,1
Bread 4.5” Bun Burger Sesame Seeds,HAMBURGER_BUN_2P5OZ,2.5,0.15625,"Standard hamburger bun proxy at 2.5 oz each (4.5-inch, sesame).",https://www.schulstadbakerysolutions.com/all-products/hamburger-bun---4-inch-55-g/,Medium,1
Bread Bun Hot Dog 6 In White,HOT_DOG_BUN_1P5OZ,1.5,0.09375,Standard hot dog bun proxy at 1.5 oz each (same proxy as Bordenaves' confirmed hot dog buns).,https://www.foodservicedirect.com/gonnella-baking-company-individually-wrapped-plain-hot-dog-bun--1-5-ounce----56-per-case-21407664.html,Medium,1
Muffin English Original 13oz,ENGLISH_MUFFIN_2P17OZ,2.1666666666666665,0.13541666666666666,"Explicit 13 oz stated in the item name itself for the 6-count pack (13/6 = 2.17 oz/muffin) -- this one is barely an assumption, just dividing a real stated pack weight.",,High,1
Muffin English Wheat,ENGLISH_MUFFIN_2P17OZ,2.1666666666666665,0.13541666666666666,"No explicit oz for this flavor -- applied the same per-muffin weight confirmed from the ""Original 13oz"" variant's stated pack weight.",,Medium,1
Muffin English Sourdough,ENGLISH_MUFFIN_2P17OZ,2.1666666666666665,0.13541666666666666,"No explicit oz for this flavor -- applied the same per-muffin weight confirmed from the ""Original 13oz"" variant's stated pack weight.",,Medium,1
Bagel Thomas Everything 6 Pk,THOMAS_BAGEL_3P33OZ,3.3333333333333335,0.20833333333333334,Thomas' Plain Bagels 6-count package is labeled 20 oz net weight (20/6 = 3.33 oz/bagel) per multiple retailer listings.,https://www.thefreshgrocer.com/product/thomas-plain-bagels-6-count-1-lb-4-oz-00048121255084,High,1
Bagel Thomas Plain 6 Pk,THOMAS_BAGEL_3P33OZ,3.3333333333333335,0.20833333333333334,Thomas' Plain Bagels 6-count package is labeled 20 oz net weight (20/6 = 3.33 oz/bagel) per multiple retailer listings.,https://www.thefreshgrocer.com/product/thomas-plain-bagels-6-count-1-lb-4-oz-00048121255084,High,1
Bagel Thomas Cinnamon Raisin 6 Pk,THOMAS_BAGEL_3P33OZ,3.3333333333333335,0.20833333333333334,Same 20 oz / 6-count package weight applied to this flavor variant.,https://www.thefreshgrocer.com/product/thomas-plain-bagels-6-count-1-lb-4-oz-00048121255084,Medium,1
Bagel Thomas Whole Wheat 6 Pk,THOMAS_BAGEL_3P33OZ,3.3333333333333335,0.20833333333333334,Same 20 oz / 6-count package weight applied to this flavor variant.,https://www.thefreshgrocer.com/product/thomas-plain-bagels-6-count-1-lb-4-oz-00048121255084,Medium,1
